policy_id,policy_name,date,symbol,rank,score,relative_strength_1m,relative_strength_3m,relative_strength_6m,relative_strength_20d,trend_score,volume_increase,volatility,avg_traded_value,forward_return
OLD_TOP3,Old absolute-score Top3,2026-07-01,EUPWR.IS,1,0.8927835051546392,0.026581039933390782,0.946616969306421,1.2447279035470393,-0.018070475415191467,1.0,0.538083739696124,0.05026973209497025,4387518404.381502,0.03231492419869175
OLD_TOP3,Old absolute-score Top3,2026-07-01,ODAS.IS,2,0.8551546391752577,0.10605350760090992,0.3623912453004279,0.38832227615777404,0.12691125110763668,1.0,0.25769673370891866,0.03626124963510647,1048333983.351427,-0.007042302393543309
OLD_TOP3,Old absolute-score Top3,2026-07-01,ISGYO.IS,3,0.8484536082474228,0.178932429012713,0.13334693184141289,-0.08678514003337456,0.1699467960797132,1.0,0.6778236247036438,0.027673226718518445,135358759.8088646,0.11849483771272706
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,KTLEV.IS,1,0.7840909090909091,0.34605481418383355,1.1343038132008445,7.769076798273356,0.2768298126100195,1.0,-0.16648592606507562,0.031079108308266795,5551109470.989751,0.12670456279407838
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,ENERY.IS,2,0.7386363636363636,0.2477606197685418,0.14773354607145173,-0.06263504749696791,0.2565305652002712,1.0,0.2792186569951658,0.027175635220433546,722018929.8509436,-0.1433628193110439
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,AHGAZ.IS,3,0.7318181818181817,0.21659670514487206,0.6291777698255856,0.5020843088634601,0.21897187448165512,1.0,-0.2310239253225016,0.028312756777856902,190216032.48636073,-0.08396559478885735
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,SKBNK.IS,4,0.7295454545454545,0.2671007074014913,0.4745841800623902,0.8919347220391718,0.2766684447543837,1.0,-0.08162536624663785,0.03371986617262711,535071212.0380126,0.12329578068951497
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,ISGYO.IS,5,0.6931818181818182,0.178932429012713,0.13334693184141289,-0.08678514003337456,0.1699467960797132,1.0,0.6778236247036438,0.027673226718518445,135358759.8088646,0.11849483771272706
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,ODAS.IS,6,0.6931818181818181,0.10605350760090992,0.3623912453004279,0.38832227615777404,0.12691125110763668,1.0,0.25769673370891866,0.03626124963510647,1048333983.351427,-0.007042302393543309
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,KCAER.IS,7,0.640909090909091,0.11589097383447022,0.27099944121349684,0.21929115164966873,0.09809065230420444,1.0,-0.04484546485135721,0.03183427432203713,309101699.5160287,-0.0981432062151234
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,YKBNK.IS,8,0.5590909090909091,0.15007184898959047,0.10762832934694222,-0.14428462649969642,0.15335872022973596,1.0,-0.008217096639550281,0.030703481815681822,6232714654.19351,-0.17438419414893058
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,AKBNK.IS,9,0.5454545454545454,0.16984839983967315,0.05761598029833115,-0.12709535020468343,0.17290227299750138,1.0,0.035346469319823104,0.031221057017331636,9446417451.239622,-0.11881824253438988
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,AEFES.IS,10,0.5363636363636363,0.02310538533535733,0.1315867422965893,0.060748668329348776,0.009218973412578935,1.0,-0.16285822906600256,0.024629170007311442,701384716.5106074,-0.004793882001139282
RS_TOP3,BIST100 relative-strength survival Top3,2026-07-01,KTLEV.IS,1,0.7840909090909091,0.34605481418383355,1.1343038132008445,7.769076798273356,0.2768298126100195,1.0,-0.16648592606507562,0.031079108308266795,5551109470.989751,0.12670456279407838
RS_TOP3,BIST100 relative-strength survival Top3,2026-07-01,ENERY.IS,2,0.7386363636363636,0.2477606197685418,0.14773354607145173,-0.06263504749696791,0.2565305652002712,1.0,0.2792186569951658,0.027175635220433546,722018929.8509436,-0.1433628193110439
RS_TOP3,BIST100 relative-strength survival Top3,2026-07-01,AHGAZ.IS,3,0.7318181818181817,0.21659670514487206,0.6291777698255856,0.5020843088634601,0.21897187448165512,1.0,-0.2310239253225016,0.028312756777856902,190216032.48636073,-0.08396559478885735
RS_TOP5,BIST100 relative-strength survival Top5,2026-07-01,KTLEV.IS,1,0.7840909090909091,0.34605481418383355,1.1343038132008445,7.769076798273356,0.2768298126100195,1.0,-0.16648592606507562,0.031079108308266795,5551109470.989751,0.12670456279407838
RS_TOP5,BIST100 relative-strength survival Top5,2026-07-01,ENERY.IS,2,0.7386363636363636,0.2477606197685418,0.14773354607145173,-0.06263504749696791,0.2565305652002712,1.0,0.2792186569951658,0.027175635220433546,722018929.8509436,-0.1433628193110439
RS_TOP5,BIST100 relative-strength survival Top5,2026-07-01,AHGAZ.IS,3,0.7318181818181817,0.21659670514487206,0.6291777698255856,0.5020843088634601,0.21897187448165512,1.0,-0.2310239253225016,0.028312756777856902,190216032.48636073,-0.08396559478885735
