date,model,portfolio_size,symbol,rank,score,forward_return
2018-06-30,momentum_heavy,3,TUPRS.IS,1,0.8279411764705883,-0.008302551330894858
2018-06-30,momentum_heavy,3,SISE.IS,2,0.813235294117647,0.17882355540564032
2018-06-30,momentum_heavy,3,FROTO.IS,3,0.801470588235294,-0.03594763909686349
2018-07-31,momentum_heavy,3,SISE.IS,1,0.913235294117647,0.22754502241370345
2018-07-31,momentum_heavy,3,EREGL.IS,2,0.8514705882352941,0.06690781082038866
2018-07-31,momentum_heavy,3,THYAO.IS,3,0.7544117647058822,-0.057324842204538484
2018-08-31,momentum_heavy,3,SISE.IS,1,0.9308823529411764,-0.05040665183920878
2018-08-31,momentum_heavy,3,TUPRS.IS,2,0.7897058823529413,0.12742608275973022
2018-08-31,momentum_heavy,3,PETKM.IS,3,0.7632352941176471,-0.027174112071161716
2018-09-30,momentum_heavy,3,BIMAS.IS,1,0.8205882352941177,-0.03142309406198285
2018-09-30,momentum_heavy,3,THYAO.IS,2,0.7735294117647058,-0.2680249848335806
2018-09-30,momentum_heavy,3,TUPRS.IS,3,0.7647058823529412,-0.026197515067378108
2018-10-31,momentum_heavy,3,TUPRS.IS,1,0.8955882352941176,-0.04688702656377752
2018-10-31,momentum_heavy,3,ARCLK.IS,2,0.836764705882353,0.014202724407756051
2018-10-31,momentum_heavy,3,BIMAS.IS,3,0.8235294117647058,0.07892325177647086
2018-11-30,momentum_heavy,3,BIMAS.IS,1,0.8279411764705883,0.028588380070158292
2018-11-30,momentum_heavy,3,TCELL.IS,2,0.7367647058823529,-0.004542278020850388
2018-11-30,momentum_heavy,3,GARAN.IS,3,0.6838235294117645,-0.03753030431642257
2018-12-31,momentum_heavy,3,BIMAS.IS,1,0.8764705882352941,0.047481113299834954
2018-12-31,momentum_heavy,3,SISE.IS,2,0.8764705882352941,0.17913028103969952
2018-12-31,momentum_heavy,3,ARCLK.IS,3,0.8176470588235293,0.16782325985071567
2019-01-31,momentum_heavy,3,SISE.IS,1,0.7838235294117648,0.0014748986090140637
2019-01-31,momentum_heavy,3,TCELL.IS,2,0.7338235294117647,-0.015786002612352967
2019-01-31,momentum_heavy,3,ARCLK.IS,3,0.7132352941176471,0.1312804137032204
2019-02-28,momentum_heavy,3,ARCLK.IS,1,0.9661764705882354,-0.1996179837898392
2019-02-28,momentum_heavy,3,YKBNK.IS,2,0.7955882352941176,-0.027777876870288543
2019-02-28,momentum_heavy,3,KCHOL.IS,3,0.7514705882352941,-0.14354053108358555
2019-03-31,momentum_heavy,3,YKBNK.IS,1,0.8852941176470588,-0.009523821819371281
2019-03-31,momentum_heavy,3,TUPRS.IS,2,0.738235294117647,-0.012028789886161184
2019-03-31,momentum_heavy,3,GARAN.IS,3,0.7176470588235294,-0.007255186297481009
2019-04-30,momentum_heavy,3,PGSUS.IS,1,0.8705882352941177,0.13980587020397328
2019-04-30,momentum_heavy,3,BIMAS.IS,2,0.7088235294117645,-0.0473051549279524
2019-04-30,momentum_heavy,3,ARCLK.IS,3,0.6911764705882353,-0.04503025011623729
2019-05-31,momentum_heavy,3,PGSUS.IS,1,0.9294117647058824,0.295286849746077
2019-05-31,momentum_heavy,3,TUPRS.IS,2,0.8676470588235293,-0.11963186675357673
2019-05-31,momentum_heavy,3,FROTO.IS,3,0.8205882352941175,0.1319381000894746
2019-06-30,momentum_heavy,3,PGSUS.IS,1,0.936764705882353,0.04252523059396318
2019-06-30,momentum_heavy,3,YKBNK.IS,2,0.8573529411764707,0.1369293603436006
2019-06-30,momentum_heavy,3,TOASO.IS,3,0.7808823529411765,0.01652028870162403
2019-07-31,momentum_heavy,3,PGSUS.IS,1,0.8852941176470588,0.489697140049683
2019-07-31,momentum_heavy,3,YKBNK.IS,2,0.8264705882352941,-0.1605838902882777
2019-07-31,momentum_heavy,3,TUPRS.IS,3,0.8117647058823528,-0.09857139591187103
2019-08-31,momentum_heavy,3,PGSUS.IS,1,0.9500000000000002,-0.14043752182151892
2019-08-31,momentum_heavy,3,BIMAS.IS,2,0.8911764705882351,0.04859342354619445
2019-08-31,momentum_heavy,3,FROTO.IS,3,0.7720588235294118,0.008525320905554024
2019-09-30,momentum_heavy,3,AKBNK.IS,1,0.825,-0.1488315596158214
2019-09-30,momentum_heavy,3,TUPRS.IS,2,0.7367647058823529,-0.13440114509799284
2019-09-30,momentum_heavy,3,BIMAS.IS,3,0.7308823529411765,-0.036585629385293306
2019-10-31,momentum_heavy,3,TOASO.IS,1,0.9205882352941175,0.08451971468309605
2019-10-31,momentum_heavy,3,PGSUS.IS,2,0.9029411764705882,0.09426842423778825
2019-10-31,momentum_heavy,3,FROTO.IS,3,0.8499999999999999,-0.004748382549599861
2019-11-30,momentum_heavy,3,TOASO.IS,1,0.8044117647058824,0.10828547601448024
2019-11-30,momentum_heavy,3,EREGL.IS,2,0.751470588235294,0.12670791738622134
2019-11-30,momentum_heavy,3,THYAO.IS,3,0.6661764705882353,0.059340716241874425
