date,model,portfolio_size,symbol,rank,score,forward_return
2018-06-30,momentum_heavy,3,TUPRS.IS,1,0.8279411764705883,-0.008302551330894858
2018-06-30,momentum_heavy,3,SISE.IS,2,0.813235294117647,0.17882347742401716
2018-06-30,momentum_heavy,3,FROTO.IS,3,0.801470588235294,-0.03594770143065085
2018-07-31,momentum_heavy,3,SISE.IS,1,0.913235294117647,0.22754502241370345
2018-07-31,momentum_heavy,3,EREGL.IS,2,0.8514705882352941,0.0669077405896823
2018-07-31,momentum_heavy,3,THYAO.IS,3,0.7544117647058822,-0.057324842204538484
2018-08-31,momentum_heavy,3,SISE.IS,1,0.9308823529411764,-0.0504065604095173
2018-08-31,momentum_heavy,3,TUPRS.IS,2,0.7897058823529413,0.1274261809752426
2018-08-31,momentum_heavy,3,PETKM.IS,3,0.7632352941176471,-0.027174112071161716
2018-09-30,momentum_heavy,3,BIMAS.IS,1,0.8205882352941177,-0.03142339046581233
2018-09-30,momentum_heavy,3,THYAO.IS,2,0.7735294117647058,-0.2680249848335805
2018-09-30,momentum_heavy,3,TUPRS.IS,3,0.7647058823529412,-0.026197599899992152
2018-10-31,momentum_heavy,3,TUPRS.IS,1,0.8955882352941176,-0.046886937105376614
2018-10-31,momentum_heavy,3,ARCLK.IS,2,0.836764705882353,0.014202724407756051
2018-10-31,momentum_heavy,3,BIMAS.IS,3,0.8235294117647058,0.0789233195137038
2018-11-30,momentum_heavy,3,BIMAS.IS,1,0.8279411764705883,0.028588496449611922
2018-11-30,momentum_heavy,3,TCELL.IS,2,0.7367647058823529,-0.004542480444479136
2018-11-30,momentum_heavy,3,GARAN.IS,3,0.6838235294117645,-0.03753030431642257
2018-12-31,momentum_heavy,3,BIMAS.IS,1,0.8764705882352941,0.04748110792759319
2018-12-31,momentum_heavy,3,SISE.IS,2,0.8764705882352941,0.17913028103969952
2018-12-31,momentum_heavy,3,ARCLK.IS,3,0.8176470588235293,0.16782325985071567
2019-01-31,momentum_heavy,3,SISE.IS,1,0.7838235294117648,0.0014750644770538113
2019-01-31,momentum_heavy,3,TCELL.IS,2,0.7338235294117647,-0.015785917073617206
2019-01-31,momentum_heavy,3,ARCLK.IS,3,0.7132352941176471,0.13128053015273977
2019-02-28,momentum_heavy,3,ARCLK.IS,1,0.9661764705882354,-0.19961801470996954
2019-02-28,momentum_heavy,3,YKBNK.IS,2,0.7955882352941176,-0.027777939261848128
2019-02-28,momentum_heavy,3,KCHOL.IS,3,0.7514705882352941,-0.1435405769309548
2019-03-31,momentum_heavy,3,YKBNK.IS,1,0.8852941176470588,-0.009523821172235714
2019-03-31,momentum_heavy,3,TUPRS.IS,2,0.738235294117647,-0.012028872949883529
2019-03-31,momentum_heavy,3,GARAN.IS,3,0.7176470588235294,-0.007255259321811369
2019-04-30,momentum_heavy,3,PGSUS.IS,1,0.8705882352941177,0.13980587020397328
2019-04-30,momentum_heavy,3,BIMAS.IS,2,0.7088235294117645,-0.04730526639959509
2019-04-30,momentum_heavy,3,ARCLK.IS,3,0.6911764705882353,-0.045030190932256575
2019-05-31,momentum_heavy,3,PGSUS.IS,1,0.9294117647058824,0.295286849746077
2019-05-31,momentum_heavy,3,TUPRS.IS,2,0.8676470588235293,-0.11963193668374283
2019-05-31,momentum_heavy,3,FROTO.IS,3,0.8205882352941175,0.1319380087691
2019-06-30,momentum_heavy,3,PGSUS.IS,1,0.936764705882353,0.04252523059396296
2019-06-30,momentum_heavy,3,YKBNK.IS,2,0.8573529411764707,0.13692947876120964
2019-06-30,momentum_heavy,3,TOASO.IS,3,0.7808823529411765,0.016520375135095522
2019-07-31,momentum_heavy,3,PGSUS.IS,1,0.8852941176470588,0.48969714004968323
2019-07-31,momentum_heavy,3,YKBNK.IS,2,0.8264705882352941,-0.1605839256403775
2019-07-31,momentum_heavy,3,TUPRS.IS,3,0.8117647058823528,-0.09857145531209788
2019-08-31,momentum_heavy,3,PGSUS.IS,1,0.9500000000000002,-0.1404375218215188
2019-08-31,momentum_heavy,3,BIMAS.IS,2,0.8911764705882351,0.048593325996108216
2019-08-31,momentum_heavy,3,FROTO.IS,3,0.7720588235294118,0.008525136491738916
2019-09-30,momentum_heavy,3,AKBNK.IS,1,0.825,-0.14883134469308645
2019-09-30,momentum_heavy,3,TUPRS.IS,2,0.7367647058823529,-0.13440101053000886
2019-09-30,momentum_heavy,3,BIMAS.IS,3,0.7308823529411765,-0.036585147635113
2019-10-31,momentum_heavy,3,TOASO.IS,1,0.9205882352941175,0.08451963391259643
2019-10-31,momentum_heavy,3,PGSUS.IS,2,0.9029411764705882,0.09426842423778847
2019-10-31,momentum_heavy,3,FROTO.IS,3,0.8499999999999999,-0.004748603940844198
2019-11-30,momentum_heavy,3,TOASO.IS,1,0.8044117647058824,0.10828547601448046
2019-11-30,momentum_heavy,3,EREGL.IS,2,0.751470588235294,0.12670809084674728
2019-11-30,momentum_heavy,3,THYAO.IS,3,0.6661764705882353,0.059340716241874425
2019-12-31,momentum_heavy,3,PGSUS.IS,1,0.8897058823529412,-0.20729585900580172
2019-12-31,momentum_heavy,3,TOASO.IS,2,0.836764705882353,-0.020725337233476915
2019-12-31,momentum_heavy,3,EREGL.IS,3,0.8132352941176471,0.025358381690770537
2020-01-31,momentum_heavy,3,ASELS.IS,1,0.7852941176470587,0.176020462391153
2020-01-31,momentum_heavy,3,EREGL.IS,2,0.7647058823529411,-0.10537639312656566
2020-01-31,momentum_heavy,3,YKBNK.IS,3,0.7499999999999999,-0.22147644000918598
2020-02-29,momentum_heavy,3,ASELS.IS,1,0.948529411764706,-0.1467823432532962
2020-02-29,momentum_heavy,3,TOASO.IS,2,0.8867647058823529,-0.2721598512585386
2020-02-29,momentum_heavy,3,FROTO.IS,3,0.8661764705882353,-0.32291008949255895
2020-03-31,momentum_heavy,3,BIMAS.IS,1,0.9352941176470588,0.10208108786707659
2020-03-31,momentum_heavy,3,EREGL.IS,2,0.8705882352941177,0.07814572335411762
2020-03-31,momentum_heavy,3,ASELS.IS,3,0.8588235294117645,0.15169485498639812
2020-04-30,momentum_heavy,3,ASELS.IS,1,0.7794117647058821,0.11037539664379548
2020-04-30,momentum_heavy,3,TOASO.IS,2,0.7794117647058821,0.005381288591303379
2020-04-30,momentum_heavy,3,BIMAS.IS,3,0.7205882352941176,0.1486668544898615
2020-05-31,momentum_heavy,3,BIMAS.IS,1,0.927941176470588,0.08142286124183062
2020-05-31,momentum_heavy,3,ASELS.IS,2,0.8544117647058822,0.0768719486248306
2020-05-31,momentum_heavy,3,TOASO.IS,3,0.7720588235294117,0.14808192891598893
2020-06-30,momentum_heavy,3,TOASO.IS,1,0.7970588235294116,-0.012431957275155892
2020-06-30,momentum_heavy,3,PETKM.IS,2,0.7852941176470588,-0.08857820299351027
2020-06-30,momentum_heavy,3,ARCLK.IS,3,0.7470588235294117,0.16038205214095336
2020-07-31,momentum_heavy,3,FROTO.IS,1,0.8720588235294118,0.00783129240958469
2020-07-31,momentum_heavy,3,ASELS.IS,2,0.8720588235294117,-0.07714120624478571
2020-07-31,momentum_heavy,3,ARCLK.IS,3,0.863235294117647,-0.09098789652834083
2020-08-31,momentum_heavy,3,FROTO.IS,1,0.8691176470588233,0.04722070527286326
2020-08-31,momentum_heavy,3,SISE.IS,2,0.8661764705882353,0.22975199206866437
2020-08-31,momentum_heavy,3,EREGL.IS,3,0.8102941176470588,0.0725624755509322
2020-09-30,momentum_heavy,3,SISE.IS,1,0.9441176470588236,-0.17473118451371705
2020-09-30,momentum_heavy,3,ARCLK.IS,2,0.8323529411764705,0.08845211425988997
2020-09-30,momentum_heavy,3,FROTO.IS,3,0.7941176470588234,0.2077625677524504
2020-10-31,momentum_heavy,3,FROTO.IS,1,0.960294117647059,0.024574625632718172
2020-10-31,momentum_heavy,3,ARCLK.IS,2,0.8808823529411766,0.024830762745738255
2020-10-31,momentum_heavy,3,TOASO.IS,3,0.813235294117647,0.08979270982530174
2020-11-30,momentum_heavy,3,YKBNK.IS,1,0.8102941176470587,0.072916523188983
2020-11-30,momentum_heavy,3,EREGL.IS,2,0.725,0.34229409399477384
2020-11-30,momentum_heavy,3,PETKM.IS,3,0.6779411764705882,0.1876484452956786
2020-12-31,momentum_heavy,3,EREGL.IS,1,0.9205882352941176,-0.042056042036908936
2020-12-31,momentum_heavy,3,PGSUS.IS,2,0.8176470588235293,-0.05551840470101177
2020-12-31,momentum_heavy,3,PETKM.IS,3,0.7588235294117648,0.0
2021-01-31,momentum_heavy,3,PETKM.IS,1,0.7970588235294117,0.05200004577636719
2021-01-31,momentum_heavy,3,TOASO.IS,2,0.7911764705882353,-0.04254151985861809
2021-01-31,momentum_heavy,3,EREGL.IS,3,0.7852941176470587,0.016724746318743877
2021-02-28,momentum_heavy,3,FROTO.IS,1,0.9308823529411764,0.13883955563627626
2021-02-28,momentum_heavy,3,PGSUS.IS,2,0.8720588235294117,-0.19125072558047218
2021-02-28,momentum_heavy,3,PETKM.IS,3,0.7838235294117646,0.09315584596891302
2021-03-31,momentum_heavy,3,EREGL.IS,1,0.9088235294117646,0.2477065289595446
2021-03-31,momentum_heavy,3,FROTO.IS,2,0.888235294117647,-0.0905328382204692
2021-03-31,momentum_heavy,3,PETKM.IS,3,0.8235294117647058,0.16695652837338648
2021-04-30,momentum_heavy,3,EREGL.IS,1,0.972058823529412,0.009978880232505372
2021-04-30,momentum_heavy,3,PETKM.IS,2,0.8661764705882351,-0.07898661800227258
2021-04-30,momentum_heavy,3,ARCLK.IS,3,0.751470588235294,-0.08086108316397778
2021-05-31,momentum_heavy,3,EREGL.IS,1,0.7808823529411764,-0.06396256352570084
2021-05-31,momentum_heavy,3,SISE.IS,2,0.7485294117647058,-0.01419348988992597
2021-05-31,momentum_heavy,3,PGSUS.IS,3,0.7161764705882352,-0.133493728683449
2021-06-30,momentum_heavy,3,TCELL.IS,1,0.8,-0.019964585308520633
2021-06-30,momentum_heavy,3,THYAO.IS,2,0.7470588235294119,-0.04786844332289919
2021-06-30,momentum_heavy,3,GARAN.IS,3,0.6852941176470587,0.026506133419674782
2021-07-31,momentum_heavy,3,EREGL.IS,1,0.7808823529411764,-0.06099996453667167
